winner: First
                3 | 1.00, 0.00, 0.00 | 0.95, 0.01, 0.04 | 0.93, 0.01, 0.05 | 0.92, 0.02, 0.06 | 0.92, 0.03, 0.06 | 0.92, 0.03, 0.05 | 0.92, 0.03, 0.05 | 0.92, 0.04, 0.04 | 0.92, 0.04, 0.03 | 0.93, 0.05, 0.02 | 0.99, 0.01, 0.00 |                  |                  | 
                4 | 0.99, 0.01, 0.01 | 0.98, 0.01, 0.01 | 0.97, 0.02, 0.02 | 0.96, 0.02, 0.02 | 0.96, 0.03, 0.01 | 0.96, 0.03, 0.01 | 0.96, 0.03, 0.01 | 0.96, 0.03, 0.01 | 0.95, 0.04, 0.01 | 0.99, 0.01, 0.00 | 1.00, 0.01, 0.00 |                  |                  | 
                5 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.98, 0.01, 0.00 | 0.98, 0.02, 0.00 | 0.98, 0.02, 0.00 | 0.98, 0.02, 0.00 | 0.97, 0.02, 0.00 | 0.97, 0.03, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                6 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                7 | 1.00, 0.01, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 0.99, 0.01, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                8 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
                9 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               10 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  | 
               11 | 1.00, 0.00, 0.00 | 1.00, 0.00, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 
               12 | 1.00, 0.00, 0.00 |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  |                  | 

winner: Neither
#2-edges\#3-edges |                0 |                1 |                2 |                3 |                4 |                5 |                6 |                7 |                8 |                9 |               10 |               11 |               12 | 
                0 |                  | 0.00, 0.00, 1.00 | 0.00, 0.00, 1.00 | 0.00, 0.00, 1.00 | 0.00, 0.10, 0.90 | 0.00, 0.19, 0.81 | 0.00, 0.25, 0.75 | 0.00, 0.23, 0.77 | 0.00, 0.18, 0.82 | 0.00, 0.17, 0.83 | 0.00, 0.00, 1.00 | 0.00, 0.00, 1.00 | 0.00, 0.00, 1.00 | 
                1 |                  | 0.00, 0.00, 1.00 | 0.00, 0.00, 1.00 | 0.00, 0.09, 0.91 | 0.00, 0.17, 0.83 | 0.00, 0.18, 0.82 | 0.00, 0.21, 0.79 | 0.00, 0.28, 0.72 | 0.00, 0.24, 0.76 | 0.00, 0.27, 0.73 | 0.00, 0.31, 0.69 | 0.00, 0.33, 0.67 |                  | 
